Department;Region;District;Kostenstelle;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Cottbus ;Königs Wusterhausen;10407;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Cottbus ;Lübben;10402;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Cottbus ;Senftenberg;10403;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Strausberg;Bernau;10410;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Strausberg;Eberswalde;10406;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Strausberg;Frankfurt (Oder);10409;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Strausberg;Schwedt;10411;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Strausberg;Strausberg;10405;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Münster / Coesfeld;Coesfeld;50205;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Münster / Coesfeld;Dülmen;50206;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Münster / Coesfeld;Rheine;50212;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Münster / Coesfeld;Stadtlohn;50203;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Münster / Coesfeld;Steinfurt;50210;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Münster / Coesfeld;Ahlen;50209;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Münster / Coesfeld;Ibbenbüren;50211;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Münster / Coesfeld;Münster;50202;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Münster / Coesfeld;Warendorf;50208;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Bielefeld;Bad Oeynhausen;;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Bielefeld;Bielefeld;50101;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Bielefeld;Gütersloh;50111;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Bielefeld;Herford;50102;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Bielefeld;Minden;50103;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Paderborn;Detmold;50110;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Paderborn;Höxter;50108;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Paderborn;Lemgo;50109;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Paderborn;Lippstadt;50106;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Paderborn;Paderborn;50112;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Paderborn;Salzkotten;50107;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Paderborn;Hamburg Wandsbek;;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Duisburg / Wesel;Duisburg;50414;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Duisburg / Wesel;Geldern;50407;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Duisburg / Wesel;Moers;50410;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Duisburg / Wesel;Mülheim;50405;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Duisburg / Wesel;Oberhausen;50406;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Duisburg / Wesel;Bocholt;50204;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Duisburg / Wesel;Borken;50213;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Duisburg / Wesel;Kleve;50408;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Duisburg / Wesel;Wesel;50404;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Essen;Bottrop;50410;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Essen;Dinslaken;50403;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Essen;Dorsten;50411;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Essen;Essen;50401;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Essen;Gelsenkirchen;50409;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Bochum;Bochum;50314;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Bochum;Hagen;50312;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Bochum;Hattingen;50305;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Bochum;Herne;50308;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Bochum;Recklinghausen;50413;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Dortmund;Dortmund Innenstadt West;50301;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Dortmund;Dortmund Südost;50302;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Dortmund;Hamm;50207;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Dortmund;Soest;50105;;
Abteilung Nordrhein-Westfalen Nord (NRW Nord);Dortmund;Unna;50303;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Mönchengladbach;Heinsberg;40112;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Mönchengladbach;Krefeld;40116;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Mönchengladbach;Mönchengladbach;40111;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Mönchengladbach;Viersen;40113;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Düsseldorf;Düsseldorf Zentrum;40101;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Düsseldorf;Grevenbroich;40114;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Düsseldorf;Hilden;40104;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Düsseldorf;Langenfeld;40105;;
